model_size,corpus_type,level,seed,bin,n_facts,frac_stored
M,CURATED,1000,2,17-32,40545,0.10536690882622703
M,CURATED,1000,2,33-64,25870,0.4848737565531987
M,CURATED,1000,2,65-128,16270,0.9184405551340658
M,CURATED,1000,2,129-256,10341,0.9871845413206533
M,CURATED,1000,2,>=257,16579,0.9989717348801571
M,CURATED,30,1,1,6866,-9.849541672735218e-05
M,CURATED,30,1,2,18612,0.0005080622548624544
M,CURATED,30,1,3-4,82564,0.0009912646363729955
M,CURATED,30,1,5-8,230527,0.0027142980828303194
M,CURATED,30,1,9-16,238070,0.010382985850406394
M,CURATED,30,1,17-32,155560,0.05674351687050013
M,CURATED,30,1,33-64,128460,0.3363431238931379
M,CURATED,30,1,65-128,137098,0.655031647497365
M,CURATED,30,1,129-256,945,0.6431421027612434
M,CURATED,30,1,>=257,2,0.499755859375
M,CURATED,30,2,1,6932,4.4376397504327736e-05
M,CURATED,30,2,2,18835,0.00033987848835280064
M,CURATED,30,2,3-4,82593,0.0006518190810283559
M,CURATED,30,2,5-8,229503,0.002300488421243404
M,CURATED,30,2,9-16,238712,0.008502801296646169
M,CURATED,30,2,17-32,155616,0.04860687726519124
M,CURATED,30,2,33-64,128568,0.3083318658462837
M,CURATED,30,2,65-128,136952,0.6280051730031325
M,CURATED,30,2,129-256,943,0.6370835369996023
M,CURATED,30,2,>=257,0,
M,CURATED,300,1,1,165839,0.00025634478554878524
M,CURATED,300,1,2,150207,0.0007345088387400388
M,CURATED,300,1,3-4,184353,0.0014862353385047978
M,CURATED,300,1,5-8,142327,0.003985555778352842
M,CURATED,300,1,9-16,92617,0.016674999489665773
M,CURATED,300,1,17-32,59035,0.08824573826040696
M,CURATED,300,1,33-64,37545,0.45358459822171726
M,CURATED,300,1,65-128,23552,0.933349609375
M,CURATED,300,1,129-256,14904,0.9980113612536903
M,CURATED,300,1,>=257,24489,0.999755859375
M,CURATED,300,2,1,165615,0.00025702170932961985
M,CURATED,300,2,2,150131,0.000668395759890529
M,CURATED,300,2,3-4,183788,0.001469790643635602
M,CURATED,300,2,5-8,143415,0.003876767229826901
M,CURATED,300,2,9-16,92066,0.016124551400286208
M,CURATED,300,2,17-32,59012,0.08558586005282824
M,CURATED,300,2,33-64,37431,0.4335406901302563
M,CURATED,300,2,65-128,23699,0.9215247103813716
M,CURATED,300,2,129-256,14967,0.997283754076677
M,CURATED,300,2,>=257,24442,0.9994694670994088
M,CURATED,x30,1,1,12,-0.000244140625
M,CURATED,x30,1,2,31,-0.000244140625
M,CURATED,x30,1,3-4,554,-0.000244140625
M,CURATED,x30,1,5-8,15933,0.0010111157611168643
M,CURATED,x30,1,9-16,186251,0.004013554635696587
M,CURATED,x30,1,17-32,607039,0.023444617428436437
M,CURATED,x30,1,33-64,188412,0.06348853033014086
M,CURATED,x30,1,65-128,1413,0.04151099030210545
M,CURATED,x30,1,129-256,355,0.036375577684859155
M,CURATED,x30,1,>=257,0,
M,CURATED,x30,2,1,1,-0.000244140625
M,CURATED,x30,2,2,26,-0.000244140625
