corpus,seed,docs,i_eff,bits_stored,facts_stored
Z05_n64,2,3477760,356004.0,30345.0849609375,2528.757080078125
Z05_n64,2,5897216,498756.0,36262.2333984375,3021.852783203125
Z05_n64,2,10000000,696180.0,39130.0341796875,3260.836181640625
Z05_n64,3,29952,16296.0,728.021484375,60.66845703125
Z05_n64,3,50816,23196.0,1446.3369140625,120.528076171875
Z05_n64,3,86272,32628.0,2764.0341796875,230.336181640625
Z05_n64,3,146304,46080.0,4116.75,343.0625
Z05_n64,3,248064,64944.0,6212.14453125,517.6787109375
Z05_n64,3,420608,91992.0,8893.541015625,741.12841796875
Z05_n64,3,713216,129348.0,12748.4208984375,1062.368408203125
Z05_n64,3,1209472,182052.0,16323.5537109375,1360.296142578125
Z05_n64,3,2050944,255552.0,23973.609375,1997.80078125
Z05_n64,3,3477760,357636.0,29792.6865234375,2482.723876953125
Z05_n64,3,5897216,500796.0,36309.7353515625,3025.811279296875
Z05_n64,3,10000000,699468.0,39465.2314453125,3288.769287109375
Z10_n0,1,29952,2940.0,455.2822265625,37.940185546875
Z10_n0,1,50816,3816.0,695.068359375,57.92236328125
Z10_n0,1,86272,4812.0,886.8251953125,73.902099609375
Z10_n0,1,146304,6396.0,1246.4384765625,103.869873046875
Z10_n0,1,248064,8424.0,1581.943359375,131.82861328125
Z10_n0,1,420608,10860.0,2217.3486328125,184.779052734375
Z10_n0,1,713216,13896.0,2540.607421875,211.71728515625
Z10_n0,1,1209472,18276.0,3247.5380859375,270.628173828125
Z10_n0,1,2050944,23688.0,3750.216796875,312.51806640625
Z10_n0,1,3477760,30768.0,4252.48828125,354.3740234375
Z10_n0,1,5897216,40488.0,4766.115234375,397.17626953125
Z10_n0,1,10000000,51948.0,5147.3173828125,428.943115234375
Z10_n0,2,29952,2760.0,443.326171875,36.94384765625
Z10_n0,2,50816,3612.0,671.1181640625,55.926513671875
Z10_n0,2,86272,4740.0,982.8427734375,81.903564453125
Z10_n0,2,146304,6168.0,1222.494140625,101.87451171875
Z10_n0,2,248064,7812.0,1582.0927734375,131.841064453125
Z10_n0,2,420608,10536.0,2037.427734375,169.78564453125
Z10_n0,2,713216,14124.0,2624.5517578125,218.712646484375
Z10_n0,2,1209472,18444.0,3175.4970703125,264.624755859375
Z10_n0,2,2050944,24264.0,3786.076171875,315.50634765625
Z10_n0,2,3477760,31092.0,4480.4091796875,373.367431640625
Z10_n0,2,5897216,40584.0,4754.091796875,396.17431640625
Z10_n0,2,10000000,52704.0,5039.1328125,419.927734375
Z10_n0,3,29952,2868.0,467.2998046875,38.941650390625
Z10_n0,3,50816,3708.0,743.0947265625,61.924560546875
Z10_n0,3,86272,4860.0,970.8134765625,80.901123046875
Z10_n0,3,146304,6504.0,1186.412109375,98.86767578125
Z10_n0,3,248064,8496.0,1497.92578125,124.8271484375
Z10_n0,3,420608,11136.0,2121.28125,176.7734375
Z10_n0,3,713216,14208.0,2636.53125,219.7109375
Z10_n0,3,1209472,18084.0,3175.5849609375,264.632080078125
Z10_n0,3,2050944,23760.0,3630.19921875,302.5166015625
Z10_n0,3,3477760,30720.0,4348.5,362.375
